antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"PhoneService,StreamingMovies",StreamingTV,0.3455913673150646,0.38435325855459324,0.24705381229589662,0.714872637633525,1.8599364561702685,1.0,0.11422464414001418,2.159199090314294,0.7065114979936803,0.5116142311084975,0.5368653106210601,0.6788253103202719
"PhoneService,StreamingTV",StreamingMovies,0.3438875479199205,0.3879028822944768,0.24705381229589662,0.7184145334434352,1.8520474227826187,1.0,0.11365884127257947,2.173752520649234,0.7011862387352094,0.5096660808435852,0.5399660308610796,0.677655290147779
StreamingTV,StreamingMovies,0.38435325855459324,0.3879028822944768,0.2754508022149652,0.7166605097894347,1.8475256114374043,1.0,0.12635906540236422,2.1602958248094537,0.7451278198348993,0.5544441268933981,0.537100433877752,0.7133814994042342
StreamingMovies,StreamingTV,0.3879028822944768,0.38435325855459324,0.2754508022149652,0.7101024890190336,1.8475256114374043,1.0,0.12635906540236422,2.1236703252889533,0.74944890438509,0.5544441268933981,0.5291171195020881,0.7133814994042342
"PhoneService,StreamingTV",Internet_Fiber,0.3438875479199205,0.4395854039471816,0.24847366179185007,0.7225433526011561,1.6436927753132888,1.0,0.09730571512706607,2.0198276066070333,0.5968699415710886,0.46443736730360935,0.5049082423030004,0.6438944153186659
"PhoneService,StreamingMovies",Internet_Fiber,0.3455913673150646,0.4395854039471816,0.2486156467414454,0.719391947411668,1.6365237356654967,1.0,0.09669872593959392,1.9971436702672911,0.5943513789163529,0.46335009261709453,0.49928489628081524,0.6424802114319321
"Internet_Fiber,StreamingMovies",PhoneService,0.2486156467414454,0.9031662643759761,0.2486156467414454,1.0,1.1072158465650055,1.0,0.02407438180855684,inf,0.12887377173091463,0.27527118377613585,1.0,0.6376355918880678
"Internet_Fiber,StreamingTV",PhoneService,0.24847366179185007,0.9031662643759761,0.24847366179185007,1.0,1.1072158465650055,1.0,0.024060632875485127,inf,0.12884942376723976,0.2751139757899701,1.0,0.637556987894985
"MultipleLines,StreamingMovies",PhoneService,0.22589805480619055,0.9031662643759761,0.22589805480619055,1.0,1.1072158465650055,1.0,0.021874552517083895,inf,0.12509170946441667,0.25011790598962425,1.0,0.6250589529948122
"MultipleLines,StreamingTV",PhoneService,0.22391026551185575,0.9031662643759761,0.22391026551185575,1.0,1.1072158465650055,1.0,0.021682067454080023,inf,0.12477131357482618,0.24791699418330454,1.0,0.6239584970916523
Internet_Fiber,PhoneService,0.4395854039471816,0.9031662643759761,0.4395854039471816,1.0,1.1072158465650055,1.0,0.042566696790001135,inf,0.17278946034963272,0.4867159251689986,1.0,0.7433579625844993
MultipleLines,PhoneService,0.42183728524776376,0.9031662643759761,0.42183728524776376,1.0,1.1072158465650055,1.0,0.040848080156037914,inf,0.1674852652259333,0.4670649268982864,1.0,0.7335324634491432
"Internet_Fiber,MultipleLines",PhoneService,0.27516683231577455,0.9031662643759761,0.27516683231577455,1.0,1.1072158465650055,1.0,0.026645432292965815,inf,0.13359451518119492,0.30466907718912123,1.0,0.6523345385945606
"StreamingMovies,StreamingTV",PhoneService,0.2754508022149652,0.9031662643759761,0.24705381229589662,0.8969072164948454,0.9930698830016029,1.0,-0.0017240597599593455,0.9392872355530318,-0.00953959624038172,0.2652034750800183,-0.0646370589835833,0.5852245562115792
StreamingTV,PhoneService,0.38435325855459324,0.9031662643759761,0.3438875479199205,0.8947173993350572,0.9906452827412054,1.0,-0.003247348809565176,0.9197506046815176,-0.015106716548157399,0.36442973216972613,-0.08725125584045726,0.6377375709141879
StreamingMovies,PhoneService,0.3879028822944768,0.9031662643759761,0.3455913673150646,0.8909224011713032,0.9864434006366118,1.0,-0.0047494298275119196,0.887750891694072,-0.021959136376498968,0.3655203484006608,-0.12644212397435733,0.6367833197493051
"DeviceProtection,StreamingMovies",PhoneService,0.22646599460457192,0.9031662643759761,0.20005679397983814,0.883385579937304,0.9780985127336005,1.0,-0.004479652375363047,0.8303753135500969,-0.02813315034361214,0.21521307469069803,-0.2042747221430609,0.5524458162223858
OnlineBackup,PhoneService,0.3448814425670879,0.9031662643759761,0.30413176203322445,0.881844380403458,0.9763920721870075,1.0,-0.00735352210269008,0.8195440551594202,-0.035593749423665395,0.3222021660649819,-0.2201906580915616,0.6092919433851907
DeviceProtection,PhoneService,0.3438875479199205,0.9031662643759761,0.3005821382933409,0.8740710156895128,0.9677852795945981,1.0,-0.010005493726908177,0.7689551071520848,-0.048284127355975856,0.31758175817581763,-0.3004660359219369,0.603440161201147
OnlineSecurity,PhoneService,0.2866676132329973,0.9031662643759761,0.24648587249751527,0.8598315998018823,0.9520191726779841,1.0,-0.012422644863708004,0.6908385590986021,-0.06599049569629038,0.26128838049367853,-0.44751619148877264,0.5663723318927664
TechSupport,PhoneService,0.2902172369728809,0.9031662643759761,0.24918358653982678,0.8586105675146771,0.950667226380423,1.0,-0.012930831234487489,0.6848725107802934,-0.06812978137084881,0.26390977443609026,-0.46012576685356144,0.5672552916177379
Internet_DSL,PhoneService,0.34374556297032516,0.9031662643759761,0.2469118273463013,0.718298223874432,0.7953111760332691,1.0,-0.06354756865742417,0.3437455629703251,-0.28170177612556807,0.2469118273463013,-1.9091284593143334,0.49584145590828976
